day,iv_30d,iv_skew,iv_term,near_days,far_days,near_gap,far_gap
2018-01-05,14.596155919233372,2.4862239453264463,1.3689999999999998,7,35,-1.811350000000001,-0.24130000000000074
2018-01-11,14.269771621774096,1.7143351766221155,1.0928500000000003,29,57,0.024399999999999977,-0.17215000000000025
2018-01-17,14.047772656279003,2.331300267219775,0.9479000000000006,23,51,1.04765,0.4783500000000007
2018-01-23,14.877406608260056,2.413020543339643,0.41020000000000145,17,45,-0.04309999999999903,-0.06990000000000052
2018-01-29,15.269485387106323,2.282906426530269,1.1004500000000004,11,39,-2.0564,-0.08119999999999905
2018-02-02,16.052126296715784,2.3836457685133223,0.6172000000000022,7,35,-2.8005999999999993,0.11439999999999984
2018-02-08,23.920489170238557,5.257621896694364,-2.225450000000002,29,64,-0.2231999999999985,-0.3765999999999998
2018-02-14,26.63233423089309,5.321521759458427,-4.822599999999998,23,58,-2.316200000000002,-0.7799999999999976
2018-02-20,20.749579737640815,4.158462757910249,-2.9913500000000006,17,52,-1.3317999999999977,0.1382000000000012
2018-02-26,17.734921826337033,5.401288348356193,-2.8519000000000005,11,46,-6.638399999999997,-2.128750000000002
2018-03-02,26.138041401593743,3.390588817914652,-6.2932500000000005,7,42,6.745649999999998,2.293050000000001
2018-03-08,,,-0.9087999999999994,36,64,1.1292000000000009,0.7524999999999977
2018-03-14,18.232,3.8980999999999995,0.30460000000000065,30,58,0.16890000000000072,0.20709999999999695
2018-03-20,19.661978866384302,2.9567478319564895,0.00829999999999842,24,52,3.3689,2.096399999999999
2018-03-26,23.148854935457546,0.8087580238000118,0.3669000000000011,18,46,9.661600000000002,5.321100000000001
2018-03-30,19.047605531470353,5.1435283542897885,-0.3295999999999992,14,42,0.03240000000000087,0.038050000000001916
2018-04-05,18.88981283894935,3.786236489136516,-0.8504500000000021,8,36,-1.842100000000002,0.27460000000000306
2018-04-11,17.93985,3.930399999999999,0.39594999999999914,30,58,0.1537500000000005,0.6522999999999985
2018-04-17,14.22132030245434,3.733759812424302,1.152899999999999,24,52,0.9997000000000007,0.7438000000000002
2018-04-23,13.885352180934103,3.6921282774058093,2.259499999999999,18,46,-1.1912000000000003,-0.39889999999999937
2018-04-27,13.504846779529615,3.7598916388775736,1.7079500000000003,14,42,-4.071299999999997,-1.8726499999999984
2018-05-09,12.91975,3.9199,0.8814999999999991,30,65,-0.5934000000000008,0.13589999999999947
2018-05-15,11.781237708577143,4.257154700018088,0.9085999999999999,24,59,0.041999999999999815,-0.1451500000000001
2018-05-21,11.98906050807211,3.6518318479606546,0.9486499999999989,18,53,-0.4958,0.10395000000000021
2018-05-25,12.455140555022137,4.6026263512210654,0.5673999999999992,14,49,1.4690999999999992,0.4856999999999996
2018-05-31,13.934562995072463,5.009971634825992,-0.1313000000000013,8,43,2.1898000000000017,0.6312499999999996
2018-06-06,,,0.8774999999999995,37,65,-0.10820000000000007,-0.10490000000000066
2018-06-12,,,0.6750000000000007,31,59,-1.0207000000000015,-0.5769000000000002
2018-06-18,13.074962025733573,5.5928938711106095,0.3996499999999994,25,53,0.8739000000000008,0.44315000000000015
2018-06-22,14.310479103702294,5.384548404234531,0.07850000000000179,21,49,0.4740499999999992,0.6607500000000002
2018-06-28,15.916123693070654,5.823047825847487,-0.8788499999999999,15,43,1.6204,1.3890999999999991
2018-07-04,17.10815873711648,5.386655224245508,-0.6612500000000026,9,37,-2.242000000000001,-0.21630000000000038
2018-07-10,,,0.798,31,66,-0.5162999999999993,-0.22834999999999983
2018-07-20,13.873949673496524,4.229959392767817,1.2824500000000008,21,56,-3.2331000000000003,-1.3605000000000018
2018-07-26,13.629163196406656,4.240543344130696,0.2745999999999995,15,50,0.36405000000000065,0.4693500000000004
2018-08-01,12.953126550663358,3.851476763562294,1.3847500000000004,9,44,-8.4702,-2.184800000000001
2018-08-07,,,0.34729999999999883,38,66,1.1409500000000001,1.1255000000000006
2018-08-13,,,-0.8461999999999996,32,60,-2.4802999999999997,-0.5776000000000003
2018-08-17,14.20580940289671,4.680251541230269,-0.41140000000000043,28,56,-0.09080000000000155,0.2507999999999999
2018-08-23,12.488463638179953,4.390512946899203,0.23075000000000045,22,50,-1.1289499999999997,-0.028949999999999143
2018-08-29,11.664075710166665,3.7244979777815894,0.8209999999999997,16,44,0.0,0.1944499999999998
2018-09-04,12.57304446780038,4.726931240035138,0.22245000000000026,10,38,-10.875599999999999,-2.93745
2018-09-10,,,1.1464500000000015,32,60,0.20449999999999946,0.5067000000000004
2018-09-14,13.20627261796454,4.114103960304422,0.9177999999999997,28,56,-1.858699999999999,-0.7678000000000011
2018-09-20,14.312426606898537,1.4194223082328443,1.5481500000000015,22,50,3.742499999999998,1.9636999999999993
2018-09-26,14.38473845647706,2.4678352840256723,0.13715000000000188,16,44,2.9375999999999998,1.2730500000000005
2018-10-02,15.026893205326433,3.262143474512137,0.9415999999999993,10,38,-2.00615,-0.28059999999999974
2018-10-12,20.939594488391744,4.628903074216779,-1.0064000000000028,28,63,3.0458499999999997,1.4444999999999997
2018-10-18,19.433458759592586,4.013759347626468,-1.8186999999999998,22,57,4.6084499999999995,2.444749999999999
2018-10-24,23.164166021249287,3.5802901954448254,-3.4894999999999996,16,51,5.156000000000001,2.303699999999999
2018-10-30,25.487286123246122,4.065009350406917,-5.592799999999997,10,45,-2.927249999999999,-0.8392999999999997
2018-11-05,,,-2.0572499999999962,39,67,1.3201,0.7960999999999991
2018-11-09,,,-0.5612999999999992,35,63,-0.9718500000000008,0.018600000000002836
2018-11-15,20.55677331735603,3.2692207270340994,-1.4350500000000004,29,57,-0.8592500000000012,0.12620000000000076
2018-11-21,19.75415462442331,3.8587100160876324,-1.360949999999999,23,51,-0.6912000000000003,0.09440000000000026
2018-11-27,18.990555098333935,3.72993736984166,-1.7804000000000002,17,45,-3.7880999999999982,-1.7201999999999984
2018-12-03,15.952947122926066,4.358091095388056,-1.632749999999998,11,39,-6.4533000000000005,-2.805200000000001
2018-12-07,19.441098930873224,3.2096098604205676,-3.7912,7,35,9.775299999999998,2.571249999999999
2018-12-13,17.3773492434836,3.634703282476623,0.7097999999999978,29,57,-1.0459000000000032,0.29155000000000086
2018-12-19,21.45883855495213,3.0034057338054945,-0.2679000000000009,23,51,0.7704999999999984,-0.11210000000000164
2018-12-25,34.97572612987164,3.1569580067887433,-4.654899999999998,17,45,6.444299999999998,4.98545
2019-01-04,26.901436455617475,3.055016532192056,-0.9863499999999981,7,35,8.36535,3.2170999999999985
2019-01-10,22.167944414858763,3.9965592588825927,-0.279049999999998,29,57,2.2224500000000003,1.4538499999999992
2019-01-16,19.52693549478515,4.810669693371496,-0.309700000000003,23,51,-0.40580000000000105,-0.09339999999999904
2019-01-22,17.610187041139813,3.509744791932004,0.9171000000000014,17,45,4.9421,2.0908000000000015
2019-01-28,17.709686168833468,3.3935111965591584,-0.44019999999999726,11,39,-1.9824000000000002,-0.24909999999999854
2019-02-01,15.628227402006896,3.1867593320264236,2.103349999999999,7,35,8.6541,3.1777999999999995
2019-02-07,14.48176006705134,3.7655856480971073,0.45199999999999996,29,64,1.1952999999999996,1.0124999999999993
2019-02-13,16.00022742714928,3.5101410729614506,-0.357050000000001,23,58,-2.3782999999999994,-0.7268000000000008
2019-02-19,16.195721716706547,3.2993000647593123,-0.8322500000000019,17,52,-1.176000000000002,0.3915999999999986
2019-02-25,15.079313895267251,3.261681309295782,-0.6681500000000007,11,46,-4.869949999999999,-0.5978999999999992
2019-03-01,13.892060528103814,3.6231894822213713,1.0863500000000013,7,42,-3.1531000000000002,-0.04819999999999869
2019-03-07,,,-0.6067499999999999,36,64,2.5310000000000006,1.7350000000000003
2019-03-13,15.64155,2.4477999999999973,-0.1308000000000007,30,58,4.3683,2.8877499999999996
2019-03-19,13.45713960324593,2.9602424236133293,0.5901499999999995,24,52,1.6582499999999998,0.9114500000000012
2019-03-25,16.517172962058954,3.5575772275634536,-0.2848499999999987,18,46,6.43855,3.4099000000000004
2019-03-29,15.274936630953428,3.994017973068064,-0.11220000000000141,14,42,0.0,0.08269999999999911
2019-04-04,14.374823078439212,3.1643659642584963,-0.2665000000000006,8,36,2.738199999999999,1.925699999999999
2019-04-10,14.15765,3.5396,1.216099999999999,30,65,-0.0591999999999997,-0.3434500000000016
2019-04-16,12.420915759717559,3.975975522640237,1.8680999999999983,24,59,-0.6753999999999998,0.14029999999999987
2019-04-22,12.956510692179874,4.358304868208398,2.1792000000000016,18,53,-2.2843999999999998,-0.8306999999999984
2019-04-26,13.837767414424707,4.339084498925075,1.8956999999999997,14,49,-0.03434999999999988,0.4941999999999993
2019-05-08,,,-0.2435000000000045,37,65,1.0742999999999974,0.7257999999999996
2019-05-14,,,-0.2090999999999994,31,59,2.023200000000001,1.3064999999999998
2019-05-20,16.68712455877285,3.264949489157428,0.3108000000000004,25,53,-0.3103499999999997,-0.1048
2019-05-24,16.472009483395507,3.7755868744138024,0.4429000000000016,21,49,1.5288000000000004,1.1415000000000006
2019-05-30,16.78485123284269,3.539589549616908,-0.21154999999999546,15,43,1.373899999999999,0.9876000000000005
2019-06-05,16.60681570854268,2.8400821226740613,-0.38589999999999947,9,37,7.631949999999998,2.9274999999999984
2019-06-11,,,0.017250000000000654,31,59,-0.06989999999999963,0.058849999999999625
2019-06-17,14.978665277484197,2.9958189770885513,0.08444999999999858,25,53,-0.3491000000000035,0.25929999999999964
2019-06-21,14.183067690676216,2.7017923793099765,-0.25175000000000125,21,49,0.640749999999997,0.5618500000000006
2019-06-27,14.69621395589694,2.47816700143314,0.18929999999999936,15,43,5.696,2.958450000000001
2019-07-03,13.102426163501171,2.9314231527483727,0.7454000000000001,9,37,3.357500000000001,1.2064000000000004
2019-07-09,,,0.7791999999999994,31,66,2.7711000000000006,1.6350999999999996
2019-07-19,12.268150976177534,3.311441786533763,0.9298999999999982,21,56,6.500400000000001,3.1068
2019-07-25,13.017938226649301,4.228718075892066,0.5267,15,50,-2.854400000000002,-0.29359999999999964
2019-07-31,14.18205175600484,3.695982572681202,-1.4149999999999991,9,44,-8.3219,-2.0138
2019-08-06,,,-1.367799999999999,38,66,1.9865999999999993,1.2904499999999999
2019-08-16,19.7619122205082,3.4876108871393865,-1.4138999999999982,28,56,0.9017499999999998,1.8276500000000002
2019-08-22,15.477036175838522,3.8910504659853435,-0.4266999999999985,22,50,-0.3933,0.3667000000000016
2019-08-28,16.583644646759648,4.168504301707918,-0.7047999999999988,16,44,-1.6212,-0.15080000000000027
2019-09-03,16.14395649466963,3.6272303834207755,-0.5303500000000021,10,38,-4.504700000000003,-1.567899999999998
2019-09-09,,,0.44780000000000086,32,60,0.9371499999999999,1.2124999999999986
2019-09-13,13.691782505302223,3.3596951307889755,0.5986999999999991,28,56,1.004999999999999,0.09710000000000107
2019-09-19,14.067036190112278,2.781298226968985,0.527000000000001,22,50,-0.11909999999999954,0.22670000000000012
2019-09-25,15.457676126928005,2.783491568073477,0.6602999999999994,16,44,4.702000000000002,2.7424
2019-10-01,14.650335339372662,,,10,38,-12.708799999999998,-3.5655
2019-10-07,,,0.17384999999999806,32,67,-0.13100000000000023,-0.03130000000000166
2019-10-11,15.692650970911739,3.1505295449137014,0.39519999999999733,28,63,-0.5728,0.09049999999999869
2019-10-17,13.302565106689547,3.8358810379159722,1.1415500000000005,22,57,-1.5184999999999995,-0.17629999999999946
2019-10-23,13.391244745989821,4.003908361159859,1.0415500000000009,16,51,-3.0107,-0.9270500000000013
2019-10-29,12.692038779880875,3.5320644907969445,0.901250000000001,10,45,-0.18844999999999867,0.16669999999999963
2019-11-08,,,0.3846500000000006,35,63,0.7967500000000003,0.9935999999999998
2019-11-14,13.933401823781098,3.349163036640061,-0.005550000000001276,29,57,1.590399999999999,1.4716999999999985
2019-11-20,13.217121401897616,3.596693690479979,0.6580000000000013,23,51,0.5890000000000022,1.0982999999999983
2019-11-26,12.470544317557302,3.840095602771023,0.1017500000000009,17,45,-0.33860000000000134,-0.628400000000001
2019-12-02,12.346318971762395,3.678582926128554,-0.3268999999999984,11,39,-4.476199999999999,-1.0030999999999999
